"Xmol","SFR"
2.7093137e-05,0
1.5086621e-05,0
2.2437659e-05,0
2.3475478e-05,0
2.2127209e-05,0
2.31522e-05,0
2.1516952e-05,0
2.893101e-05,0
2.3085214e-05,0
2.2743858e-05,0
2.0655208e-05,0
2.3499858e-05,0
1.5091337e-05,0
1.6927597e-05,0
1.9454263e-05,0
1.8693008e-05,0
2.3066211e-05,0
1.2038251e-05,0
1.0802679e-05,0
2.0130924e-05,0
1.9064123e-05,0
1.9642895e-05,0
1.4463126e-05,0
1.8190832e-05,0
1.656251e-05,0
1.4332113e-05,0
1.430564e-05,0
1.9954701e-05,0
3.1158984e-05,0
1.9197588e-05,0
1.1930232e-05,0
1.7571715e-05,0
1.9899951e-05,0
1.0735357e-05,0
1.0707874e-05,0
1.8012716e-05,0
1.2065238e-05,0
1.166015e-05,0
1.7667241e-05,0
1.9568703e-05,0
2.014315e-05,0
1.4503059e-05,0
1.7066077e-05,0
1.5836397e-05,0
1.4042691e-05,0
9.9542411e-06,0
1.4017785e-05,0
1.5804572e-05,0
1.3499469e-05,0
1.4480666e-05,0
1.858183e-05,0
1.4960351e-05,0
1.1151522e-05,0
1.1451788e-05,0
1.1439244e-05,0
1.2061888e-05,0
1.042516e-05,0
1.8892431e-05,0
1.3417017e-05,0
1.2574416e-05,0
1.7215213e-05,0
1.2245661e-05,0
0.013344488,1
0.00011240919,1
0.026713369,0
0.00024717421,1
0.027726978,1
2.4985104e-05,0
2.5241274e-05,0
0.0004663988,1
4.6271372e-05,0
4.9856975e-05,0
0.00226073,1
3.0206404e-05,0
1.9065144e-05,0
4.6240111e-05,0
3.3548549e-05,0
3.3971004e-05,0
4.3794647e-05,0
0.026318151,0
6.7429933e-05,1
0.026946967,0
3.757963e-05,0
3.6451494e-05,0
3.2779211e-05,0
2.1306e-05,0
2.6317379e-05,0
2.8347804e-05,0
5.225722e-05,0
1.477627e-05,0
1.772677e-05,0
2.0313089e-05,0
2.2890191e-05,0
2.4293637e-05,0
1.7260289e-05,0
2.7893803e-05,0
2.0236479e-05,0
2.4508989e-05,0
2.3665579e-05,0
3.106779e-05,0
1.6758963e-05,0
1.984929e-05,0
1.6273213e-05,0
1.3693634e-05,0
3.1533429e-05,0
1.3970739e-05,0
1.9212132e-05,0
1.6551463e-05,0
2.1497454e-05,0
1.628767e-05,0
2.264626e-05,0
2.5362268e-05,0
1.201306e-05,0
1.7037702e-05,0
2.6577042e-05,0
2.5467531e-05,0
1.1927863e-05,0
1.2654042e-05,0
1.1314092e-05,0
1.2163835e-05,0
1.2250182e-05,0
1.929554e-05,0
1.1829507e-05,0
2.3192687e-05,0
2.1506299e-05,0
0.027833135,0
1.6733346e-05,0
1.360325e-05,0
1.5746239e-05,0
1.818849e-05,0
1.9871149e-05,0
1.3721228e-05,0
2.1633651e-05,0
1.0837455e-05,0
1.7333978e-05,0
1.0948625e-05,0
1.0308375e-05,0
1.1949296e-05,0
1.1293786e-05,0
1.6187486e-05,0
1.3695728e-05,0
2.2387228e-05,0
1.5532521e-05,0
1.0705698e-05,0
2.0266863e-05,0
0.026456125,0
1.2576604e-05,0
1.0986334e-05,0
1.1017313e-05,0
1.7773562e-05,0
1.3924116e-05,0
1.510739e-05,0
1.3994548e-05,0
1.4956658e-05,0
1.7382672e-05,0
1.3196875e-05,0
1.051689e-05,0
1.119654e-05,0
1.1200086e-05,0
1.5374019e-05,0
1.6400889e-05,0
1.543015e-05,0
1.3269395e-05,0
1.3615902e-05,0
1.1230749e-05,0
1.4168396e-05,0
2.173821e-05,0
1.7314477e-05,0
2.1704373e-05,0
0.025051101,0
1.8656447e-05,0
1.3377968e-05,0
1.8926574e-05,0
1.1782758e-05,0
1.3429477e-05,0
1.1626928e-05,0
0.014723276,1
0.014432797,1
0.0007135376,1
5.7359986e-05,1
0.012552399,0
0.018827703,1
4.0687774e-05,0
3.0662445e-05,0
9.266518e-05,0
0.0016675851,1
0.00010601137,1
4.2082227e-05,0
0.0074877083,1
3.8265383e-05,0
2.8658932e-05,0
0.0001926238,1
6.1877207e-05,0
4.1630326e-05,0
1.8765477e-05,0
0.012252423,0
2.227559e-05,0
1.9758431e-05,0
4.6247799e-05,0
4.5873121e-05,0
5.0859601e-05,0
1.8181847e-05,0
1.8437226e-05,0
3.4277826e-05,0
1.9979526e-05,0
2.3285267e-05,0
2.556934e-05,0
3.153058e-05,0
2.1412594e-05,0
3.2331258e-05,0
1.2779636e-05,0
1.940483e-05,0
1.9009413e-05,0
2.8581646e-05,0
2.8437558e-05,0
1.7487288e-05,0
1.4195867e-05,0
1.3084381e-05,0
2.3025161e-05,0
2.2530166e-05,0
2.0162195e-05,0
2.1850083e-05,0
1.3840428e-05,0
1.9470793e-05,0
0.011869636,0
2.5324138e-05,0
1.8648156e-05,0
1.6634513e-05,0
1.9762259e-05,0
1.8537828e-05,0
1.918712e-05,0
2.218286e-05,0
2.9469927e-05,0
1.4598365e-05,0
1.6343506e-05,0
1.3424029e-05,0
1.2106321e-05,0
1.3404913e-05,0
1.5817369e-05,0
1.3748047e-05,0
1.4180926e-05,0
2.3858991e-05,0
1.4251541e-05,0
0.012296115,0
1.8742757e-05,0
1.4443865e-05,0
2.3905138e-05,0
2.4514319e-05,0
1.4596299e-05,0
1.8980514e-05,0
1.456676e-05,0
2.2623847e-05,0
1.2831736e-05,0
1.4339023e-05,0
